藏匿	〔※󰄖※󰂇※󰂋※󰄖※〕
性质	〔※󰃣※󰄋※󰃼※󰂱※〕
改掉	〔※󰁁※󰄏※󰃿※󰀥※〕
以身报国	〔※󰁐※󰄋※󰃿※󰃒※〕
发扬	〔※󰂂※󰄋※󰃿※󰁍※〕
发掘	〔※󰂂※󰄋※󰃿※󰃡※〕
发挥	〔※󰂂※󰄋※󰃿※󰃱※〕
改换	〔※󰁁※󰄏※󰃿※󰃸※〕
以德报怨	〔※󰁐※󰄎※󰃿※󰃹※〕
发誓	〔※󰂂※󰄋※󰃿※󰄀※〕
必杀	〔※󰃢※󰄋※󰄄※󰄉※〕
发抖	〔※󰂂※󰄋※󰃿※󰁦※〕
发热	〔※󰂂※󰄋※󰃿※󰄡※〕
发兵	〔※󰂂※󰄋※󰄁※󰄦※〕
改扮	〔※󰁁※󰄏※󰃿※󰄦※〕
发指	〔※󰂂※󰄋※󰃿※󰄮※〕
悔棋	〔※󰃣※󰁿※󰄅※󰀎※〕
发票	〔※󰂂※󰄋※󰄈※󰂭※〕
发飘	〔※󰂂※󰄋※󰄈※󰂭※〕
发酵	〔※󰂂※󰄋※󰄇※󰂶※〕
发酸	〔※󰂂※󰄋※󰄇※󰂶※〕
发配	〔※󰂂※󰄋※󰄇※󰂶※〕
属相	〔※󰃡※󰄋※󰄅※󰂼※〕
发梢	〔※󰂂※󰄋※󰄅※󰃆※〕
必可	〔※󰃢※󰄋※󰄆※󰃏※〕
发木	〔※󰂂※󰄋※󰄅※󰄅※〕
性格	〔※󰃣※󰄋※󰄅※󰄐※〕
改样	〔※󰁁※󰄏※󰄅※󰄜※〕
必要	〔※󰃢※󰄋※󰄈※󰄟※〕
发榜	〔※󰂂※󰄋※󰄅※󰄶※〕
以身相许	〔※󰁐※󰄋※󰄅※󰄵※〕
恬适	〔※󰃣※󰄋※󰄋※󰂟※〕
改造	〔※󰁁※󰄏※󰄋※󰂮※〕
发生	〔※󰂂※󰄋※󰄋※󰁽※〕
发行	〔※󰂂※󰄋※󰄎※󰂶※〕
履行	〔※󰃡※󰄎※󰄎※󰂶※〕
改制	〔※󰁁※󰄏※󰁿※󰂶※〕
改行	〔※󰁁※󰄏※󰄎※󰂶※〕
发自	〔※󰂂※󰄋※󰄋※󰂼※〕
改版	〔※󰁁※󰄏※󰄋※󰂺※〕
发牌	〔※󰂂※󰄋※󰄋※󰂺※〕
发臭	〔※󰂂※󰄋※󰄋※󰂼※〕
必得	〔※󰃢※󰄋※󰄎※󰃋※〕
必备	〔※󰃢※󰄋※󰄐※󰃐※〕
发射	〔※󰂂※󰄋※󰄋※󰀽※〕
发愁	〔※󰂂※󰄋※󰄌※󰃩※〕
改称	〔※󰁁※󰄏※󰄌※󰄾※〕
发条	〔※󰂂※󰄋※󰄐※󰄉※〕
发笑	〔※󰂂※󰄋※󰄍※󰄋※〕
改签	〔※󰁁※󰄏※󰄍※󰄤※〕
必答	〔※󰃢※󰄋※󰄍※󰄤※〕
发稿	〔※󰂂※󰄋※󰄌※󰁸※〕
发往	〔※󰂂※󰄋※󰄎※󰄼※〕
忤逆	〔※󰃣※󰁿※󰄕※󰂔※〕
发痛	〔※󰂂※󰄋※󰄛※󰁻※〕
发送	〔※󰂂※󰄋※󰄕※󰂝※〕
改装	〔※󰁁※󰄏※󰄿※󰂯※〕
发病	〔※󰂂※󰄋※󰄛※󰂶※〕
性病	〔※󰃣※󰄋※󰄛※󰂶※〕
改判	〔※󰁁※󰄏※󰄒※󰀠※〕
改卷	〔※󰁁※󰄏※󰄒※󰂹※〕
发音	〔※󰂂※󰄋※󰄓※󰃊※〕
发问	〔※󰂂※󰄋※󰄙※󰃏※〕
发端	〔※󰂂※󰄋※󰄓※󰃘※〕
发闷	〔※󰂂※󰄋※󰄙※󰃢※〕
必将	〔※󰃢※󰄋※󰄿※󰃹※〕
发奖	〔※󰂂※󰄋※󰄿※󰃹※〕
性交	〔※󰃣※󰄋※󰄘※󰄄※〕
恪遵	〔※󰃣※󰄐※󰄒※󰄇※〕
改道	〔※󰁁※󰄏※󰄕※󰄋※〕
书香门第	〔※󰁈※󰄌※󰄙※󰄍※〕
改善	〔※󰁁※󰄏※󰄜※󰄕※〕
发痒	〔※󰂂※󰄋※󰄛※󰄜※〕
发疯	〔※󰂂※󰄋※󰄛※󰁰※〕
发冷	〔※󰂂※󰄋※󰄑※󰄤※〕
发辫	〔※󰂂※󰄋※󰄔※󰄪※〕
发凉	〔※󰂂※󰄋※󰄑※󰁸※〕
改好	〔※󰁁※󰄏※󰄟※󰂍※〕
发怒	〔※󰂂※󰄋※󰄟※󰂘※〕
改建	〔※󰁁※󰄏※󰁬※󰀟※〕
异乎寻常	〔※󰃠※󰄋※󰄢※󰃆※〕
性灵	〔※󰃣※󰄋※󰄢※󰃩※〕
心乱如麻	〔※󰃢※󰄋※󰄟※󰃫※〕
改嫁	〔※󰁁※󰄏※󰄟※󰃰※〕
悔婚	〔※󰃣※󰁿※󰄟※󰁚※〕
改姓	〔※󰁁※󰄏※󰄟※󰄋※〕
居委会	〔※󰃡※󰄌※󰄤※󰂭※〕
性命	〔※󰃣※󰄋※󰄤※󰂶※〕
必修	〔※󰃢※󰄋※󰄥※󰂺※〕
以身作则	〔※󰁐※󰄋※󰄥※󰃚※〕
发作	〔※󰂂※󰄋※󰄥※󰁿※〕
发件	〔※󰂂※󰄋※󰄥※󰄋※〕
发傻	〔※󰂂※󰄋※󰄥※󰄋※〕
改作	〔※󰁁※󰄏※󰄥※󰁿※〕
性欲	〔※󰃣※󰄋※󰄦※󰄤※〕
发货	〔※󰂂※󰄋※󰄥※󰁳※〕
发售	〔※󰂂※󰄋※󰄥※󰁷※〕
发信	〔※󰂂※󰄋※󰄥※󰄳※〕
发令	〔※󰂂※󰄋※󰄤※󰄼※〕
发红	〔※󰂂※󰄋※󰄪※󰂆※〕
必经	〔※󰃢※󰄋※󰄪※󰀉※〕
改组	〔※󰁁※󰄏※󰄪※󰀐※〕
改线	〔※󰁁※󰄏※󰄪※󰂶※〕
必纠	〔※󰃢※󰄋※󰄪※󰁐※〕
履约	〔※󰃡※󰄎※󰄪※󰃷※〕
发绺	〔※󰂂※󰄋※󰄪※󰄐※〕
发绿	〔※󰂂※󰄋※󰄪※󰁭※〕
发给	〔※󰂂※󰄋※󰄪※󰄤※〕
发丝	〔※󰂂※󰄋※󰁲※󰁲※〕
改编	〔※󰁁※󰄏※󰄪※󰄼※〕
发育	〔※󰂂※󰄋※󰄶※󰂙※〕
改为	〔※󰁁※󰄏※󰄼※󰂫※〕
必读	〔※󰃢※󰄋※󰄵※󰂱※〕
发证	〔※󰂂※󰄋※󰄵※󰂶※〕
以身试法	〔※󰁐※󰄋※󰄵※󰃁※〕
避重就轻	〔※󰃡※󰄋※󰁸※󰃖※〕
属望	〔※󰃡※󰄋※󰄶※󰄃※〕
改变	〔※󰁁※󰄏※󰄶※󰁗※〕
发迹	〔※󰂂※󰄋※󰄶※󰁖※〕
发亮	〔※󰂂※󰄋※󰁸※󰃱※〕
改订	〔※󰁁※󰄏※󰄵※󰄆※〕
发放	〔※󰂂※󰄋※󰄸※󰄏※〕
发话	〔※󰂂※󰄋※󰄵※󰄋※〕
改良	〔※󰁁※󰄏※󰄼※󰄣※〕
发言	〔※󰂂※󰄋※󰄳※󰄳※〕
发文	〔※󰂂※󰄋※󰄷※󰄼※〕
买菜	〔※󰃦※󰁦※󰄖※󰂦※〕
飞散	〔※󰄺※󰁨※󰁺※󰂧※〕
屏蔽	〔※󰃡※󰄕※󰄖※󰃇※〕
屏幕	〔※󰃡※󰄕※󰄖※󰃋※〕
习艺	〔※󰂁※󰄑※󰄖※󰃝※〕
飞花	〔※󰄺※󰁨※󰄖※󰄥※〕
买药	〔※󰃦※󰁦※󰄖※󰄪※〕
异端邪说	〔※󰃠※󰄓※󰀄※󰄵※〕
悦耳	〔※󰃣※󰄒※󰂐※󰂶※〕
飞出	〔※󰄺※󰁨※󰂔※󰃘※〕
买了	〔※󰃦※󰁦※󰂒※󰃦※〕
屏障	〔※󰃡※󰄕※󰂏※󰄓※〕
买通	〔※󰃦※󰁦※󰁻※󰀒※〕
飞驰	〔※󰄺※󰁨※󰀊※󰀞※〕
飞驶	〔※󰄺※󰁨※󰀊※󰀞※〕
飞碟	〔※󰄺※󰁨※󰂠※󰂊※〕
心病还须心药医	〔※󰃢※󰄛※󰂢※󰂋※〕
飞奔	〔※󰄺※󰁨※󰂝※󰂱※〕
买成	〔※󰃦※󰁦※󰂤※󰂁※〕
收效甚微	〔※󰁐※󰄘※󰀎※󰄎※〕
屡次三番	〔※󰃡※󰄑※󰂜※󰄋※〕
恼羞成怒	〔※󰃣※󰄝※󰂤※󰄟※〕
买春	〔※󰃦※󰁦※󰂜※󰄤※〕
飞龙	〔※󰄺※󰁨※󰁼※󰁳※〕
悦服	〔※󰃣※󰄒※󰂧※󰀈※〕
飞鼠	〔※󰄺※󰁨※󰂪※󰁐※〕
习用	〔※󰂁※󰄑※󰂨※󰄋※〕
飞腾	〔※󰄺※󰁨※󰂧※󰄒※〕
买办	〔※󰃦※󰁦※󰂫※󰄦※〕
飞去	〔※󰄺※󰁨※󰂮※󰂙※〕
以资鼓励	〔※󰁐※󰄑※󰂯※󰂡※〕
飞起	〔※󰄺※󰁨※󰂮※󰁾※〕
飞越	〔※󰄺※󰁨※󰂮※󰁾※〕
买走	〔※󰃦※󰁦※󰂮※󰁾※〕
飞走	〔※󰄺※󰁨※󰂮※󰁾※〕
飞赴	〔※󰄺※󰁨※󰂮※󰁾※〕
买进	〔※󰃦※󰁦※󰂭※󰀯※〕
买卖	〔※󰃦※󰁦※󰂱※󰃦※〕
飞过	〔※󰄺※󰁨※󰂳※󰃮※〕
飞霜	〔※󰄺※󰁨※󰀙※󰄅※〕
飞雪	〔※󰄺※󰁨※󰀙※󰄢※〕
习武	〔※󰂁※󰄑※󰂶※󰀁※〕
买到	〔※󰃦※󰁦※󰂶※󰂙※〕
飞天	〔※󰄺※󰁨※󰂶※󰂝※〕
愣头青	〔※󰃣※󰁦※󰁽※󰂧※〕
眉头一皱，计上心来	〔※󰁅※󰁦※󰂶※󰂶※〕
买下	〔※󰃦※󰁦※󰂶※󰂿※〕
憎恶	〔※󰃣※󰄒※󰂶※󰃬※〕
飞来	〔※󰄺※󰁨※󰂶※󰄒※〕
买来	〔※󰃦※󰁦※󰂶※󰄒※〕
悦目	〔※󰃣※󰄒※󰂼※󰂼※〕
买点	〔※󰃦※󰁦※󰀥※󰃏※〕
飞眼	〔※󰄺※󰁨※󰂼※󰄣※〕
买些	〔※󰃦※󰁦※󰂾※󰄮※〕
飞鸿	〔※󰄺※󰁨※󰃁※󰂆※〕
民意测验	〔※󰁂※󰄓※󰃁※󰀊※〕
飞沫	〔※󰄺※󰁨※󰃁※󰂶※〕
飞瀑	〔※󰄺※󰁨※󰃁※󰃋※〕
飞溅	〔※󰄺※󰁨※󰃁※󰃚※〕
飞渡	〔※󰄺※󰁨※󰃁※󰃫※〕
飞泻	〔※󰄺※󰁨※󰃁※󰃱※〕
飞洒	〔※󰄺※󰁨※󰃁※󰄇※〕
习染	〔※󰂁※󰄑※󰃁※󰄡※〕
飞涨	〔※󰄺※󰁨※󰃁※󰄬※〕
翌晨	〔※󰃥※󰄓※󰃋※󰂡※〕
习题	〔※󰂁※󰄑※󰃊※󰂶※〕
飞虫	〔※󰄺※󰁨※󰃍※󰂺※〕
翌日	〔※󰃥※󰄓※󰃊※󰃊※〕
飞蝗	〔※󰄺※󰁨※󰃍※󰃽※〕
飞蛾	〔※󰄺※󰁨※󰃍※󰄋※〕
飞跃	〔※󰄺※󰁨※󰃏※󰂾※〕
飞吻	〔※󰄺※󰁨※󰃏※󰃷※〕
慰问团	〔※󰃡※󰄙※󰃒※󰀛※〕
飞车	〔※󰄺※󰁨※󰃖※󰂶※〕
飞回	〔※󰄺※󰁨※󰃒※󰃏※〕
飞轮	〔※󰄺※󰁨※󰃖※󰄤※〕
飞贼	〔※󰄺※󰁨※󰃚※󰂇※〕
买账	〔※󰃦※󰁦※󰃚※󰄋※〕
买肉	〔※󰃦※󰁦※󰃜※󰄤※〕
悯惜	〔※󰃣※󰄙※󰃣※󰁺※〕
愣头愣脑	〔※󰃣※󰁦※󰃣※󰂧※〕
憧憬	〔※󰃣※󰄓※󰃣※󰃋※〕
飞快	〔※󰄺※󰁨※󰃣※󰁄※〕
习性	〔※󰂁※󰄑※󰃣※󰄋※〕
尽善尽美	〔※󰃡※󰄜※󰃡※󰄒※〕
憎恨	〔※󰃣※󰄒※󰃣※󰄣※〕
习惯	〔※󰂁※󰄑※󰃣※󰄯※〕
飞度	〔※󰄺※󰁨※󰃫※󰂊※〕
买断	〔※󰃦※󰁦※󰃪※󰄃※〕
飞鹰	〔※󰄺※󰁨※󰃫※󰄥※〕
习字	〔※󰂁※󰄑※󰃰※󰂍※〕
买家	〔※󰃦※󰁦※󰃰※󰂶※〕
买官	〔※󰃦※󰁦※󰃰※󰃧※〕
飞鸟	〔※󰄺※󰁨※󰁠※󰂶※〕
飞鱼	〔※󰄺※󰁨※󰁢※󰂶※〕
买饭	〔※󰃦※󰁦※󰄾※󰁐※〕
飞镖	〔※󰄺※󰁨※󰃵※󰄈※〕
飞狐	〔※󰄺※󰁨※󰃻※󰁥※〕
飞报	〔※󰄺※󰁨※󰃿※󰀈※〕
改头换面	〔※󰁁※󰁦※󰃿※󰂢※〕
飞泉	〔※󰄺※󰁨※󰃽※󰃂※〕
心慈手软	〔※󰃢※󰄕※󰃾※󰃖※〕
飞扬	〔※󰄺※󰁨※󰃿※󰁍※〕
飞抵	〔※󰄺※󰁨※󰃿※󰁚※〕
飞逝	〔※󰄺※󰁨※󰃿※󰄀※〕
买手	〔※󰃦※󰁦※󰃾※󰄋※〕
屏气	〔※󰃡※󰄕※󰄂※󰄋※〕
习气	〔※󰂁※󰄑※󰄂※󰄋※〕
飞掠	〔※󰄺※󰁨※󰃿※󰁸※〕
买票	〔※󰃦※󰁦※󰄈※󰂭※〕
买醉	〔※󰃦※󰁦※󰄇※󰂶※〕
飞速	〔※󰄺※󰁨※󰄅※󰃏※〕
买楼	〔※󰃦※󰁦※󰄅※󰃪※〕
飞檐	〔※󰄺※󰁨※󰄅※󰃸※〕
飞机	〔※󰄺※󰁨※󰄅※󰄨※〕
飞升	〔※󰄺※󰁨※󰄋※󰂉※〕
飞行	〔※󰄺※󰁨※󰄎※󰂶※〕
飞舞	〔※󰄺※󰁨※󰁿※󰂶※〕
翌年	〔※󰃥※󰄓※󰁿※󰀡※〕
屏息	〔※󰃡※󰄕※󰄋※󰂼※〕
习得	〔※󰂁※󰄑※󰄎※󰃋※〕
飞向	〔※󰄺※󰁨※󰄋※󰃜※〕
飞身	〔※󰄺※󰁨※󰄋※󰀽※〕
飞船	〔※󰄺※󰁨※󰄋※󰁪※〕
壁立千仞	〔※󰃡※󰄓※󰄋※󰄥※〕
性关系	〔※󰃣※󰄕※󰄋※󰄩※〕
飞往	〔※󰄺※󰁨※󰄎※󰄼※〕
买入	〔※󰃦※󰁦※󰄋※󰂃※〕
劈头盖脸	〔※󰃡※󰁦※󰄒※󰂧※〕
买着	〔※󰃦※󰁦※󰄝※󰂼※〕
买单	〔※󰃦※󰁦※󰄒※󰃋※〕
飞翔	〔※󰄺※󰁨※󰄝※󰃥※〕
买好	〔※󰃦※󰁦※󰄟※󰂍※〕
飞絮	〔※󰄺※󰁨※󰄟※󰃏※〕
飞刀	〔※󰄺※󰁨※󰄠※󰂁※〕
飞剑	〔※󰄺※󰁨※󰄤※󰂶※〕
飞鸽	〔※󰄺※󰁨※󰄤※󰂶※〕
飞侠	〔※󰄺※󰁨※󰄥※󰂶※〕
屏保	〔※󰃡※󰄕※󰄥※󰃏※〕
屏风	〔※󰃡※󰄕※󰁰※󰄄※〕
习作	〔※󰂁※󰄑※󰄥※󰁿※〕
习俗	〔※󰂁※󰄑※󰄥※󰄦※〕
买价	〔※󰃦※󰁦※󰄥※󰄤※〕
买货	〔※󰃦※󰁦※󰄥※󰁳※〕
飞禽	〔※󰄺※󰁨※󰄤※󰄶※〕
飞红	〔※󰄺※󰁨※󰄪※󰂆※〕
飞弹	〔※󰄺※󰁨※󰄬※󰄒※〕
情意绵绵	〔※󰃣※󰄓※󰄪※󰄪※〕
买主	〔※󰃦※󰁦※󰄼※󰂷※〕
买房	〔※󰃦※󰁦※󰄼※󰃡※〕
飞离	〔※󰄺※󰁨※󰄶※󰄄※〕
飞旋	〔※󰄺※󰁨※󰄸※󰁿※〕
以次充好	〔※󰁐※󰄑※󰄶※󰄟※〕
买方	〔※󰃦※󰁦※󰄸※󰄼※〕
恍如隔世	〔※󰃣※󰄟※󰂏※󰂊※〕
屡建奇功	〔※󰃡※󰁬※󰂝※󰂆※〕
恰如其分	〔※󰃣※󰄟※󰀎※󰄦※〕
敢怒而不敢言	〔※󰃦※󰄟※󰂢※󰄳※〕
心如死灰	〔※󰃢※󰄟※󰂶※󰁼※〕
恨事	〔※󰃣※󰄣※󰂶※󰃏※〕
恨死	〔※󰃣※󰄣※󰂶※󰃹※〕
心如止水	〔※󰃢※󰄟※󰂾※󰃂※〕
慨叹	〔※󰃣※󰁮※󰃏※󰂘※〕
快刀斩乱麻	〔※󰃣※󰄠※󰃖※󰃫※〕
惟妙惟肖	〔※󰃣※󰄟※󰃣※󰃆※〕
恨恨	〔※󰃣※󰄣※󰃣※󰄣※〕
慨然	〔※󰃣※󰁮※󰁝※󰂣※〕
心灵手巧	〔※󰃢※󰄢※󰃾※󰂆※〕
恨透	〔※󰃣※󰄣※󰄌※󰂖※〕
恨着	〔※󰃣※󰄣※󰄝※󰂼※〕
恨意	〔※󰃣※󰄣※󰄓※󰃋※〕
丑媳妇总得见公婆	〔※󰁈※󰄟※󰄟※󰃁※〕
心如刀割	〔※󰃢※󰄟※󰄠※󰃰※〕
心如刀绞	〔※󰃢※󰄟※󰄠※󰄪※〕
尽如人意	〔※󰃡※󰄟※󰄤※󰄓※〕
以退为进	〔※󰁐※󰄣※󰄼※󰂭※〕
情人节	〔※󰃣※󰄤※󰄖※󰁹※〕
恰若	〔※󰃣※󰄤※󰄖※󰁼※〕
恰巧	〔※󰃣※󰄤※󰂆※󰂶※〕
惟恐	〔※󰃣※󰄥※󰂆※󰄨※〕
戳破	〔※󰃥※󰄥※󰂠※󰂗※〕
惟有	〔※󰃣※󰄥※󰁼※󰂧※〕
局促不安	〔※󰃡※󰄥※󰂢※󰃰※〕
以售其奸	〔※󰁐※󰄥※󰀎※󰄟※〕
惟其	〔※󰃣※󰄥※󰀎※󰄦※〕
勠力	〔※󰃥※󰄤※󰂫※󰂁※〕
戮力	〔※󰃥※󰄤※󰂫※󰂁※〕
怜爱	〔※󰃣※󰄤※󰂦※󰃱※〕
心余力绌	〔※󰃢※󰄤※󰂫※󰄪※〕
飞禽走兽	〔※󰄺※󰄤※󰂮※󰄒※〕
惟一	〔※󰃣※󰄥※󰂶※󰂶※〕
尸位素餐	〔※󰃡※󰄥※󰁽※󰀥※〕
情人眼里出西施	〔※󰃣※󰄤※󰂼※󰄸※〕
发人深省	〔※󰂂※󰄤※󰃁※󰃅※〕
发人深思	〔※󰂂※󰄤※󰃁※󰃐※〕
恰当	〔※󰃣※󰄤※󰃆※󰄢※〕
恰是	〔※󰃣※󰄤※󰃋※󰂶※〕
恰遇	〔※󰃣※󰄤※󰃋※󰃜※〕
惟命是从	〔※󰃣※󰄤※󰃋※󰄤※〕
司令员	〔※󰂁※󰄤※󰃏※󰃚※〕
异途同归	〔※󰃠※󰄤※󰃜※󰀮※〕
怜惜	〔※󰃣※󰄤※󰃣※󰁺※〕
丑八怪	〔※󰁈※󰄦※󰃣※󰂘※〕
情何以堪	〔※󰃣※󰄥※󰁐※󰂮※〕
怜贫惜老	〔※󰃣※󰄦※󰃣※󰂮※〕
敢做敢当	〔※󰃦※󰄥※󰃦※󰃆※〕
敢作敢当	〔※󰃦※󰄥※󰃦※󰃆※〕
愉快	〔※󰃣※󰄤※󰃣※󰁄※〕
尽信书不如无书	〔※󰃡※󰄥※󰁈※󰁈※〕
怜恤	〔※󰃣※󰄤※󰃣※󰄋※〕
愉悦	〔※󰃣※󰄤※󰃣※󰄒※〕
怜悯	〔※󰃣※󰄤※󰃣※󰄙※〕
恰恰	〔※󰃣※󰄤※󰃣※󰄤※〕
憔悴	〔※󰃣※󰄥※󰃣※󰄶※〕
快人快语	〔※󰃣※󰄤※󰃣※󰄵※〕
敢做敢为	〔※󰃦※󰄥※󰃦※󰄼※〕
敢作敢为	〔※󰃦※󰄥※󰃦※󰄼※〕
异体字	〔※󰃠※󰄥※󰃰※󰂍※〕
剧作家	〔※󰃡※󰄥※󰃰※󰂶※〕
司令官	〔※󰂁※󰄤※󰃰※󰃧※〕
戳穿	〔※󰃥※󰄥※󰃰※󰄦※〕
心领神会	〔※󰃢※󰄤※󰃲※󰄤※〕
怆然	〔※󰃣※󰄤※󰁝※󰂣※〕
惟独	〔※󰃣※󰄥※󰃻※󰁥※〕
以偏概全	〔※󰁐※󰄥※󰄅※󰄤※〕
恰逢	〔※󰃣※󰄤※󰄐※󰂜※〕
以假乱真	〔※󰁐※󰄥※󰄋※󰂱※〕
以儆效尤	〔※󰁐※󰄥※󰄘※󰁼※〕
性命关天	〔※󰃣※󰄤※󰄕※󰂶※〕
司令部	〔※󰂁※󰄤※󰄓※󰃏※〕
性命交关	〔※󰃣※󰄤※󰄘※󰄕※〕
恰好	〔※󰃣※󰄤※󰄟※󰂍※〕
恰如	〔※󰃣※󰄤※󰄟※󰃏※〕
恰值	〔※󰃣※󰄤※󰄥※󰂱※〕
慢悠悠	〔※󰃣※󰄥※󰄥※󰂺※〕
恰似	〔※󰃣※󰄤※󰄥※󰁐※〕
性命攸关	〔※󰃣※󰄤※󰄥※󰄕※〕
尽人皆知	〔※󰃡※󰄤※󰁴※󰁿※〕
性价比	〔※󰃣※󰄥※󰁴※󰄮※〕
昼伏夜动	〔※󰃡※󰄥※󰄶※󰂭※〕
以邻为壑	〔※󰁐※󰄤※󰄼※󰀥※〕
必修课	〔※󰃢※󰄥※󰄵※󰃋※〕
戳记	〔※󰃥※󰄥※󰄵※󰃟※〕
以人为本	〔※󰁐※󰄤※󰄼※󰄅※〕
惯匪	〔※󰃣※󰄯※󰂋※󰂺※〕
惯骗	〔※󰃣※󰄯※󰀊※󰀞※〕
迟疑不决	〔※󰃡※󰄮※󰂢※󰄑※〕
尼龙	〔※󰃡※󰄮※󰁼※󰁳※〕
羽绒服	〔※󰃥※󰄪※󰂧※󰀈※〕
尼采	〔※󰃡※󰄮※󰂦※󰄅※〕
惯用	〔※󰃣※󰄯※󰂨※󰄋※〕
屁股	〔※󰃡※󰁴※󰂧※󰄨※〕
以弱胜强	〔※󰁐※󰄬※󰂧※󰄬※〕
惯坏	〔※󰃣※󰄯※󰂮※󰂢※〕
屁颠	〔※󰃡※󰁴※󰂱※󰀣※〕
尼玛	〔※󰃡※󰄮※󰂷※󰀊※〕
惯于	〔※󰃣※󰄯※󰂶※󰀛※〕
屁事	〔※󰃡※󰁴※󰂶※󰃏※〕
尼亚	〔※󰃡※󰄮※󰂶※󰃬※〕
改弦更张	〔※󰁁※󰄬※󰂶※󰄬※〕
心比天高	〔※󰃢※󰁴※󰂶※󰁸※〕
屁眼	〔※󰃡※󰁴※󰂼※󰄣※〕
以蠡测海	〔※󰁐※󰄰※󰃁※󰃁※〕
惯常	〔※󰃣※󰄯※󰃆※󰃱※〕
改弦易辙	〔※󰁁※󰄬※󰃋※󰃖※〕
惯贼	〔※󰃣※󰄯※󰃚※󰂇※〕
惯性	〔※󰃣※󰄯※󰃣※󰄋※〕
尼康	〔※󰃡※󰄮※󰃫※󰁬※〕
必经之地	〔※󰃢※󰄪※󰃭※󰂮※〕
惊弓之鸟	〔※󰃣※󰄬※󰃭※󰁠※〕
惯窃	〔※󰃣※󰄯※󰃰※󰄦※〕
怫然	〔※󰃣※󰄬※󰁝※󰂣※〕
惯犯	〔※󰃣※󰄯※󰃻※󰁥※〕
惯技	〔※󰃣※󰄯※󰃿※󰂱※〕
以绝后患	〔※󰁐※󰄪※󰃼※󰃏※〕
慎终追远	〔※󰃣※󰄪※󰄋※󰂭※〕
惯称	〔※󰃣※󰄯※󰄌※󰄾※〕
惯养	〔※󰃣※󰄯※󰄕※󰂹※〕
收费站	〔※󰁐※󰄬※󰄓※󰀥※〕
惯着	〔※󰃣※󰄯※󰄝※󰂼※〕
惯盗	〔※󰃣※󰄯※󰄑※󰄾※〕
恃强凌弱	〔※󰃣※󰄬※󰄑※󰄬※〕
以强凌弱	〔※󰁐※󰄬※󰄑※󰄬※〕
尼姑	〔※󰃡※󰄮※󰄟※󰂟※〕
心细如发	〔※󰃢※󰄪※󰄟※󰂂※〕
惯例	〔※󰃣※󰄯※󰄥※󰂶※〕
惨绝人寰	〔※󰃣※󰄪※󰄤※󰃰※〕
惯偷	〔※󰃣※󰄯※󰄥※󰄤※〕
情绪化	〔※󰃣※󰄪※󰄥※󰁳※〕
惯纵	〔※󰃣※󰄯※󰄪※󰄤※〕
以飨读者	〔※󰁐※󰁲※󰄵※󰂮※〕
屁话	〔※󰃡※󰁴※󰄵※󰄋※〕
心散	〔※󰃢※󰄼※󰁺※󰂧※〕
以东	〔※󰁐※󰄼※󰀂※󰃅※〕
迟暮	〔※󰃡※󰂃※󰄖※󰃋※〕
惊世	〔※󰃣※󰁸※󰂊※󰄃※〕
心切	〔※󰃢※󰄼※󰀃※󰄠※〕
惊恐	〔※󰃣※󰁸※󰂆※󰄨※〕
心药	〔※󰃢※󰄼※󰄖※󰄪※〕
尺子	〔※󰃡※󰂃※󰂍※󰂍※〕
尽职	〔※󰃡※󰂃※󰂐※󰃏※〕
惊出	〔※󰃣※󰁸※󰂔※󰃘※〕
忙了	〔※󰃣※󰄶※󰂒※󰃦※〕
恼了	〔※󰃣※󰄶※󰂒※󰃦※〕
惊了	〔※󰃣※󰁸※󰂒※󰃦※〕
惊险	〔※󰃣※󰁸※󰂏※󰄤※〕
以及	〔※󰁐※󰄼※󰂖※󰂃※〕
以防	〔※󰁐※󰄼※󰂏※󰄸※〕
心劲	〔※󰃢※󰄼※󰀉※󰂆※〕
以对	〔※󰁐※󰄼※󰂘※󰂳※〕
惊骇	〔※󰃣※󰁸※󰀊※󰀞※〕
层峦叠嶂	〔※󰃡※󰄶※󰂘※󰃘※〕
尽欢	〔※󰃡※󰂃※󰂘※󰄾※〕
尺码	〔※󰃡※󰂃※󰂠※󰀊※〕
屡试不爽	〔※󰃡※󰄵※󰂢※󰂝※〕
居高不下	〔※󰃡※󰁸※󰂢※󰂶※〕
心硬	〔※󰃢※󰄼※󰂠※󰂶※〕
惊艳	〔※󰃣※󰁸※󰂜※󰂺※〕
心灰	〔※󰃢※󰄼※󰁼※󰃩※〕
心愿	〔※󰃢※󰄼※󰂡※󰃽※〕
惊奇	〔※󰃣※󰁸※󰂝※󰄆※〕
惊厥	〔※󰃣※󰁸※󰂡※󰄕※〕
忙碌	〔※󰃣※󰄶※󰂠※󰁭※〕
以期	〔※󰁐※󰄼※󰀎※󰄦※〕
心态	〔※󰃢※󰄼※󰂝※󰄼※〕
心碎	〔※󰃢※󰄼※󰂠※󰄶※〕
以太	〔※󰁐※󰄼※󰂝※󰄼※〕
心服	〔※󰃢※󰄼※󰂧※󰀈※〕
心肝	〔※󰃢※󰄼※󰂧※󰂰※〕
心肺	〔※󰃢※󰄼※󰂧※󰂶※〕
心胆	〔※󰃢※󰄼※󰂧※󰃋※〕
惊驾	〔※󰃣※󰁸※󰂫※󰃏※〕
尽力	〔※󰃡※󰂃※󰂫※󰂁※〕
